p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
p0 gaze behavior: nothing, p1 gaze behavior: nothing, p2 gaze behavior: nothing, 
